headline,summary,timestamp,link
"Trump sought to lead armed mob to Capitol, aide says","Cassidy Hutchinson, who was an assistant to then-White House Chief of Staff Mark Meadows, delivered stunning revelations about the day of the attack. She told Congress that Donald Trump knew his supporters were carrying weapons, physically assailed a Secret Service agent and mused about pardoning rioters.",29 minutes ago,https://www.washingtonpost.com/national-security/2022/06/28/trump-sought-lead-armed-mob-capitol-jan-6-aide-says/
Cassidy Hutchinson’s path from trusted insider to explosive witness,,1 hour ago,https://www.washingtonpost.com/national-security/2022/06/28/cassidy-hutchinsons-path-trusted-insider-explosive-witness/
"Trump had his own rampage as rioters assaulted the Capitol, aide testifies",,,https://www.washingtonpost.com/national-security/2022/06/28/trump-temper-jan-6/
Trump-backed Darren Bailey projected to win GOP primary to face Illinois Gov. J.B. Pritzker (D),,,https://www.washingtonpost.com/politics/2022/06/28/primary-elections-new-york-illinois-colorado/
Turkey drops opposition to Finland and Sweden joining NATO,,,https://www.washingtonpost.com/world/2022/06/28/biden-heads-nato-summit-support-ukraine-alliance-strategy/
Trump’s on fire,,,https://www.washingtonpost.com/opinions/2022/06/28/trumps-fire/
Hong Kong was not supposed to look like this,,,https://www.washingtonpost.com/opinions/2022/06/28/hong-kong-handover-anniversary-china/
Cassidy Hutchinson could read the ketchup on the wall,,,https://www.washingtonpost.com/opinions/2022/06/28/cassidy-hutchinson-testimony-jan-6-reveals-ugly-truth/
5 stunning revelations about Jan. 6 from Cassidy Hutchinson,,,https://www.washingtonpost.com/opinions/2022/06/28/cassidy-hutchinson-revelations-jan-6-hearing/
Bombshell hearing raises a question: Why was Trump’s lawyer terrified?,,,https://www.washingtonpost.com/opinions/2022/06/28/cipollone-warning-jan-6-crimes/
An aide shatters the Trump White House’s code of silence,,,https://www.washingtonpost.com/opinions/2022/06/28/cassidy-hutchinson-breaks-trump-white-house-code-of-silence/
Jan. 6 testimony shows Trump is unhinged. Voters must listen.,,,https://www.washingtonpost.com/opinions/2022/06/28/cassidy-hutchinson-jan-6-testimony-donald-trump/
"If Kavanaugh and Gorsuch lied in their confirmations, so did Kagan",,,https://www.washingtonpost.com/opinions/2022/06/28/kavanaugh-gorsuch-roe-kagan-supreme-court/
Track covid: Daily U.S. cases are up 17% in the past week,,,https://www.washingtonpost.com/graphics/2020/national/coronavirus-us-cases-deaths/
Listen: The most damning Jan. 6 testimony yet,,,https://www.washingtonpost.com/podcasts/post-reports/the-most-damning-jan-6-testimony-yet/
Carolyn Hax: Quip at ‘obnoxious’ sister-in-law forces damage control,,,https://www.washingtonpost.com/advice/2022/06/28/carolyn-hax-sister-in-law-obnoxious-apology/
Cook: Crispy air-fryer fries with no fuss and very little muss,,,https://www.washingtonpost.com/food/2021/06/17/air-fryer-french-fries-crispy-easy/
"Amid breathtaking toll from smuggling incident, fears of more death this summer along border","As the medical examiner worked to match identification cards with bodies found inside an abandoned tractor-trailer in South Texas, the death toll rose to 51 and investigators detained three people.",,https://www.washingtonpost.com/nation/2022/06/28/san-antonio-migrants-trailer/
The shrinking of Lake Mead is exposing a wide range of wreckage — even bodies,"Handguns, baby strollers, vintage Coors cans, exploded ordnance and other artifacts are stoking the imagination of those watching the nation’s largest reservoir shrink to about a quarter of its former size.",,https://www.washingtonpost.com/climate-environment/2022/06/27/lake-mead-reservoir-drought/
"Abortions in Texas can temporarily resume, judge rules","A Texas ""trigger ban"" is still scheduled to take effect 30 days from last week’s Supreme Court decision overturning Roe v. Wade.",1 hour ago,https://www.washingtonpost.com/politics/2022/06/28/texas-abortion-ban-blocked/
How to juggle multiple TV streaming services without missing a show,"Hit television shows are scattered across services, and watching even a handful of the best requires more than one subscription. There’s no quick fix for the streaming blues, but there are some tips on new things you can try.",,https://www.washingtonpost.com/technology/2022/06/28/streaming-tv-tips/
Flight cancellations stressing weary travelers as July 4 approaches,,,https://www.washingtonpost.com/transportation/2022/06/28/flight-delays-cancellations-travel-july4/
Ghislaine Maxwell sentenced to 20 years in prison,,,https://www.washingtonpost.com/national-security/2022/06/28/ghislaine-maxwell-sentenced-epstein/
5 stunning revelations about Jan. 6 from Cassidy Hutchinson,,,https://www.washingtonpost.com/opinions/2022/06/28/cassidy-hutchinson-revelations-jan-6-hearing/
Cassidy Hutchinson could read the ketchup on the wall,,,https://www.washingtonpost.com/opinions/2022/06/28/cassidy-hutchinson-testimony-jan-6-reveals-ugly-truth/
Cassidy Hutchinson’s path from trusted insider to explosive witness  ,,,https://www.washingtonpost.com/national-security/2022/06/28/cassidy-hutchinsons-path-trusted-insider-explosive-witness/
Bombshell hearing raises a question: Why was Trump’s lawyer terrified?,,,https://www.washingtonpost.com/opinions/2022/06/28/cipollone-warning-jan-6-crimes/
Pro-Trump web raced to debunk Jan. 6 testimony. Then they got confused.,,,https://www.washingtonpost.com/technology/2022/06/28/trump-cassidy-hutchinson-jan6-hearing/
New York primary elections results,,,https://www.washingtonpost.com/elections/election-results/new-york/2022-primaries/
"Trump sought to lead armed mob to Capitol on Jan. 6, aide says",,29 minutes ago,https://www.washingtonpost.com/national-security/2022/06/28/trump-sought-lead-armed-mob-capitol-jan-6-aide-says/
Cassidy Hutchinson’s path from trusted insider to explosive witness  ,,1 hour ago,https://www.washingtonpost.com/national-security/2022/06/28/cassidy-hutchinsons-path-trusted-insider-explosive-witness/
"Trump had his own rampage as rioters assaulted Capitol, aide says",,,https://www.washingtonpost.com/national-security/2022/06/28/trump-temper-jan-6/
